Section,R1_mean,R2_mean,RL_mean
introduction,32.50433681984887,8.292770199972265,24.45153932804278
related work,25.83126108372371,4.381378304658317,19.475978535668954
discussion,24.3153920246154,5.6547445016569515,20.40975215490926
conclusion,18.51229177868892,4.0993044434930415,17.271934662883858
acknowledgments,5.46329184936608,0.4974551308685927,5.609445369263395
abstracttext,20.079002245881775,4.898361255609392,19.20028520289407
experiments,17.14578010338305,2.8081574770005315,15.13385024113152
results,26.156795630644016,4.805582487626013,19.81123629609178
evaluation,17.214212761112385,3.5193813015521282,15.672190383210069
background,19.137213336204407,4.240420636910076,15.687297262805574
